52.14.7.77 - - [30/Jul/2020:09:02:25 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36" 
208.80.194.42 - - [30/Jul/2020:10:39:23 -0700] "GET / HTTP/1.0" 301 450 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50728)" 
208.80.194.42 - - [30/Jul/2020:10:39:24 -0700] "GET / HTTP/1.0" 200 5141 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50728)" 
66.249.75.121 - - [30/Jul/2020:11:45:29 -0700] "GET / HTTP/1.1" 301 487 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET / HTTP/1.1" 301 487 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET / HTTP/1.1" 200 2121 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /css/normalize.css HTTP/1.1" 200 2990 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /css/main.css HTTP/1.1" 200 1245 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/html-icon.png HTTP/1.1" 200 2174 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/envelope.png HTTP/1.1" 200 931 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/pencil-icon.png HTTP/1.1" 200 1497 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/css-icon.png HTTP/1.1" 200 1881 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/twitter.png HTTP/1.1" 200 962 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/tumblr.png HTTP/1.1" 200 733 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/instagram.png HTTP/1.1" 200 980 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/github.png HTTP/1.1" 200 1109 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/linkedin.png HTTP/1.1" 200 810 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/contact-image.png HTTP/1.1" 200 210144 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /img/hero.png HTTP/1.1" 200 868580 "http://www.jubileeausten.com/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
142.68.27.55 - - [30/Jul/2020:12:05:27 -0700] "GET /favicon.ico HTTP/1.1" 200 368 "http://www.jubileeausten.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" 
